clip_id,class_id,signer_id,view,repetition,path,split,fps,n_frames,duration,width,height,file_size,brightness_mean,brightness_std,blur_mean
S1-X-frontal-4,X,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-4.mp4,train,30.0,60,2.0,900,900,6076397,145.01493497942388,5.135476363613839,3.506344443465935
S1-X-frontal-5,X,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-5.mp4,train,30.0,57,1.9,900,900,5772617,144.43810226337447,2.703754600979707,3.4007827087212323
S1-X-frontal-6,X,S1,frontal,6,..\..\src\datasets\MSL-dynamic-signs\train\S1-X-frontal-6.mp4,train,30.0,71,2.3666666666666667,900,900,7190261,152.66186682098765,2.201208447989233,3.426030089519699
S1-Z-frontal-1,Z,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-Z-frontal-1.mp4,train,30.0,69,2.3,900,900,6987741,138.26160388007057,2.169687976660023,2.4729343482382915
S1-Z-frontal-2,Z,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-Z-frontal-2.mp4,train,30.0,80,2.6666666666666665,900,900,8101601,137.36926682098766,3.055396067964736,2.358616759003201
S1-Z-frontal-3,Z,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-Z-frontal-3.mp4,train,30.0,96,3.2,900,900,9721765,139.0221113580247,3.6383975542242846,2.507742661262612
S1-Z-frontal-4,Z,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-Z-frontal-4.mp4,train,30.0,83,2.7666666666666666,900,900,8405381,141.17304430727023,2.1587655661508505,2.7323118018459254
S1-Z-frontal-5,Z,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-Z-frontal-5.mp4,train,30.0,98,3.2666666666666666,900,900,9924285,141.55883555555556,2.651434881896004,2.628244108261545
S1-Ñ-frontal-1,Ñ,S1,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-1.mp4,train,30.0,75,2.5,900,900,7595301,141.72134567901236,0.5401280496143359,3.2263928393072705
S1-Ñ-frontal-2,Ñ,S1,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-2.mp4,train,30.0,54,1.8,900,900,5468837,140.94150246913583,0.7402240339069119,3.196149304165015
S1-Ñ-frontal-3,Ñ,S1,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-3.mp4,train,30.0,51,1.7,900,900,5165057,140.66722037037036,0.8430766181579329,3.0010834656190624
S1-Ñ-frontal-4,Ñ,S1,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-4.mp4,train,30.0,55,1.8333333333333333,900,900,5570097,141.87037510288067,1.400869337135829,3.126722999444699
S1-Ñ-frontal-5,Ñ,S1,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-5.mp4,train,30.0,57,1.9,900,900,5772617,142.34070411522632,1.4059043134050024,3.1603880499441135
S1-Ñ-frontal-6,Ñ,S1,frontal,6,..\..\src\datasets\MSL-dynamic-signs\train\S1-Ñ-frontal-6.mp4,train,30.0,72,2.4,900,900,7291521,141.50362530864197,0.6789621997344676,2.919049051523396
S10-J-frontal-1,J,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-J-frontal-1.mp4,train,59.94,78,1.3013013013013013,900,900,15533331,103.52917037037038,0.4657837290459412,2.483882084575903
S10-J-frontal-2,J,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-J-frontal-2.mp4,train,59.94,78,1.3013013013013013,900,900,15533331,103.81601697530864,0.7660055088227817,2.4367922762353302
S10-J-frontal-3,J,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-J-frontal-3.mp4,train,58.586,90,1.5362031884750624,900,900,17619201,104.00777352537723,0.5484267558797206,2.3982089002572433
S10-J-frontal-4,J,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-J-frontal-4.mp4,train,58.676,84,1.4315904287954189,900,900,16444641,103.7351414266118,0.6560800779947454,2.383379278052634
S10-J-frontal-5,J,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-J-frontal-5.mp4,train,59.886,78,1.302474701933674,900,900,15533331,103.98348888888889,0.5267312506733469,2.3449178986724584
S10-K-frontal-1,K,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-K-frontal-1.mp4,train,59.94,97,1.6182849516182851,900,900,19316900,104.03798444444445,0.5309186661537486,2.1940808553718947
S10-K-frontal-2,K,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-K-frontal-2.mp4,train,59.94,78,1.3013013013013013,900,900,15533331,104.34444614197531,0.5779518225947243,2.232339649898072
S10-K-frontal-3,K,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-K-frontal-3.mp4,train,59.57,102,1.7122712774886688,900,900,20312575,104.08252244668911,0.40955700784944216,2.326795729867952
S10-K-frontal-4,K,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-K-frontal-4.mp4,train,59.497,84,1.4118358908852546,900,900,16728141,104.17793319615913,0.5619887388054506,2.2897740695258175
S10-K-frontal-5,K,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-K-frontal-5.mp4,train,59.519,95,1.5961289672205514,900,900,18918630,104.22242530864199,0.6081838537600859,2.248979006844383
S10-Q-frontal-1,Q,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-Q-frontal-1.mp4,train,59.94,91,1.5181848515181848,900,900,18122090,103.2420975308642,0.29557350941425664,2.3286269056366407
S10-Q-frontal-2,Q,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-Q-frontal-2.mp4,train,59.94,96,1.6016016016016017,900,900,19117765,103.28822851851851,0.690513263744612,2.4138631832083526
S10-Q-frontal-3,Q,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-Q-frontal-3.mp4,train,59.472,95,1.5973903685768092,900,900,18918630,103.6032887654321,0.5610933653827681,2.5036738789920747
S10-Q-frontal-4,Q,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-Q-frontal-4.mp4,train,59.623,126,2.1132784328195497,900,900,25091819,103.68792924976258,0.67819625481536,2.5351692740845087
S10-Q-frontal-5,Q,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-Q-frontal-5.mp4,train,59.407,96,1.615971181847257,900,900,19117765,103.7845111111111,0.7880843974093261,2.4648085796454806
S10-X-frontal-1,X,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-X-frontal-1.mp4,train,59.463,120,2.0180616517834618,900,900,23897005,104.77545185185183,0.34412681192153455,2.554021922249149
S10-X-frontal-2,X,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-X-frontal-2.mp4,train,59.94,126,2.1021021021021022,900,900,25091819,105.1021724596391,0.40897656623348616,2.6187748142456
S10-X-frontal-3,X,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-X-frontal-3.mp4,train,59.668,143,2.3965944895086144,900,900,28477114,105.14522938271604,0.4149745985514162,2.61794113429142
S10-X-frontal-4,X,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-X-frontal-4.mp4,train,59.653,126,2.112215647159405,900,900,25091819,105.38627084520421,0.261259205497952,2.576271307802399
S10-X-frontal-5,X,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-X-frontal-5.mp4,train,59.657,108,1.8103491627135124,900,900,21507385,105.8017037037037,0.2668983421708591,2.520522662013967
S10-Z-frontal-1,Z,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-Z-frontal-1.mp4,train,59.94,84,1.4014014014014013,900,900,16728141,104.63746433470507,0.30352704517754237,2.3252713128164744
S10-Z-frontal-2,Z,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-Z-frontal-2.mp4,train,59.325,71,1.1967973029919932,900,900,14139386,106.7084550925926,0.3599924002160093,2.2205962871456335
S10-Z-frontal-3,Z,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-Z-frontal-3.mp4,train,59.374,83,1.3979182807289385,900,900,16529006,105.55453731138545,0.6954260303962913,2.195861995695101
S10-Z-frontal-4,Z,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-Z-frontal-4.mp4,train,59.94,85,1.4180847514180848,900,900,16927276,103.83925761316873,0.7339018638161944,2.050776250765805
S10-Z-frontal-5,Z,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-Z-frontal-5.mp4,train,58.527,84,1.4352350197344814,900,900,16444641,103.42690932784636,0.6496639119778357,2.0444793989417267
S10-Ñ-frontal-1,Ñ,S10,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S10-Ñ-frontal-1.mp4,train,59.94,121,2.0186853520186854,900,900,24096144,105.98471025641025,0.299485111454676,2.280570263578606
S10-Ñ-frontal-2,Ñ,S10,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S10-Ñ-frontal-2.mp4,train,59.472,125,2.1018294323379068,900,900,24892684,106.1273757834758,0.24818262315435666,2.2182097760682593
S10-Ñ-frontal-3,Ñ,S10,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S10-Ñ-frontal-3.mp4,train,59.94,121,2.0186853520186854,900,900,24096144,106.36858518518518,0.1894518115149847,2.234542065540197
S10-Ñ-frontal-4,Ñ,S10,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S10-Ñ-frontal-4.mp4,train,59.543,126,2.116117763633005,900,900,25091819,106.30622032288699,0.24493005660277967,2.2343865084963594
S10-Ñ-frontal-5,Ñ,S10,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S10-Ñ-frontal-5.mp4,train,59.6,126,2.1140939597315436,900,900,25091819,106.48089800569802,0.3169087611737613,2.1966068338731195
S11-J-frontal-1,J,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-J-frontal-1.mp4,train,30.0,49,1.6333333333333333,900,900,4962537,120.16796,0.16575051603533733,4.58347728087944
S11-J-frontal-2,J,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-J-frontal-2.mp4,train,30.0,55,1.8333333333333333,900,900,5570097,120.14350102880657,0.15182132788572378,4.687225100953616
S11-J-frontal-3,J,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-J-frontal-3.mp4,train,30.0,67,2.2333333333333334,900,900,6785221,121.68883298059966,0.3903379850067395,4.695053789285823
S11-J-frontal-4,J,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-J-frontal-4.mp4,train,30.0,50,1.6666666666666667,900,900,5063797,122.08374493827162,0.22193391503336252,4.766410853472335
S11-J-frontal-5,J,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-J-frontal-5.mp4,train,30.0,47,1.5666666666666667,900,900,4760017,122.67173728395062,0.12688651908592746,4.69483604274897
S11-K-frontal-1,K,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-1.mp4,train,30.0,73,2.433333333333333,900,900,7392781,118.36354891975309,0.7566696070296872,4.382344284632106
S11-K-frontal-2,K,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-2.mp4,train,30.0,66,2.2,900,900,6683961,119.94239347442681,0.4005108584789938,4.709369661858166
S11-K-frontal-3,K,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-3.mp4,train,30.0,68,2.2666666666666666,900,900,6886481,120.50936790123457,0.09450205828082779,4.780443910941059
S11-K-frontal-4,K,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-4.mp4,train,30.0,72,2.4,900,900,7291521,121.33481651234568,0.877204250481782,4.7396779165693115
S11-K-frontal-5,K,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-5.mp4,train,30.0,69,2.3,900,900,6987741,122.23750723104057,0.36368686176339643,4.685419036305442
S11-K-frontal-6,K,S11,frontal,6,..\..\src\datasets\MSL-dynamic-signs\train\S11-K-frontal-6.mp4,train,30.0,84,2.8,900,900,8506641,122.34770713305898,0.37348500645745947,4.611559790295009
S11-Q-frontal-1,Q,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-Q-frontal-1.mp4,train,30.0,77,2.566666666666667,900,900,7797821,125.60796342592593,0.7266786712860023,4.320724531067482
S11-Q-frontal-2,Q,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-Q-frontal-2.mp4,train,30.0,63,2.1,900,900,6380181,123.40046049382717,0.28963321053326274,4.889321331668517
S11-Q-frontal-3,Q,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-Q-frontal-3.mp4,train,30.0,63,2.1,900,900,6380181,123.82449118165785,0.41392805135419264,4.687933497275024
S11-Q-frontal-4,Q,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-Q-frontal-4.mp4,train,30.0,61,2.033333333333333,900,900,6177661,124.62908536155201,0.65565161338985,4.827817987502777
S11-Q-frontal-5,Q,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-Q-frontal-5.mp4,train,30.0,69,2.3,900,900,6987741,124.71528659611992,0.23655689086576562,4.7385109156916405
S11-X-frontal-1,X,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-1.mp4,train,30.0,84,2.8,900,900,8506641,122.17421275720166,0.1972816894213663,4.363846910775458
S11-X-frontal-2,X,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-2.mp4,train,30.0,84,2.8,900,900,8506641,124.73134773662552,1.2991951021159682,4.582075852014936
S11-X-frontal-3,X,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-3.mp4,train,30.0,85,2.8333333333333335,900,900,8607901,125.58919547325104,0.3856325402805377,4.498690943489475
S11-X-frontal-4,X,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-4.mp4,train,30.0,79,2.6333333333333333,900,900,8000341,125.95165354938271,0.08551579394206073,4.711449065736549
S11-X-frontal-5,X,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-5.mp4,train,30.0,71,2.3666666666666667,900,900,7190261,126.08033657407407,0.18527658697216973,4.565348601553689
S11-X-frontal-6,X,S11,frontal,6,..\..\src\datasets\MSL-dynamic-signs\train\S11-X-frontal-6.mp4,train,30.0,73,2.433333333333333,900,900,7392781,126.10890895061729,0.27624214280513437,4.475112803318663
S11-Z-frontal-1,Z,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-Z-frontal-1.mp4,train,59.333,89,1.500008427013635,900,900,17723816,120.90387037037037,1.0817449060743565,4.61998447014361
S11-Z-frontal-2,Z,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-Z-frontal-2.mp4,train,59.35,90,1.5164279696714407,900,900,17922951,122.18173621399175,0.8500896181310356,4.724453899401345
S11-Z-frontal-3,Z,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-Z-frontal-3.mp4,train,59.538,90,1.511639625113373,900,900,17922951,122.42851687242799,0.7984313121860215,4.495879825420922
S11-Z-frontal-4,Z,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-Z-frontal-4.mp4,train,59.67,78,1.3071895424836601,900,900,15533331,122.07020586419753,0.8291731473093673,4.430606927322627
S11-Z-frontal-5,Z,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-Z-frontal-5.mp4,train,59.526,84,1.411148069751033,900,900,16728141,122.09490329218107,0.5704983288604518,4.616041825300175
S11-Ñ-frontal-1,Ñ,S11,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S11-Ñ-frontal-1.mp4,train,30.0,79,2.6333333333333333,900,900,8000341,123.27501913580247,1.1700295437336166,4.194934719307842
S11-Ñ-frontal-2,Ñ,S11,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S11-Ñ-frontal-2.mp4,train,30.0,71,2.3666666666666667,900,900,7190261,122.9351276234568,0.7919871021049039,4.159335952339011
S11-Ñ-frontal-3,Ñ,S11,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S11-Ñ-frontal-3.mp4,train,30.0,83,2.7666666666666666,900,900,8405381,122.22260192043895,0.6868056021037345,4.270623589778659
S11-Ñ-frontal-4,Ñ,S11,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S11-Ñ-frontal-4.mp4,train,30.0,85,2.8333333333333335,900,900,8607901,120.9195172839506,1.3278785559411501,4.18903634874511
S11-Ñ-frontal-5,Ñ,S11,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S11-Ñ-frontal-5.mp4,train,30.0,104,3.466666666666667,900,900,10531845,119.7286317620651,0.7578733098349109,4.09864331805961
S13-J-frontal-1,J,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-J-frontal-1.mp4,train,30.0,46,1.5333333333333334,900,900,4658757,149.51897456790124,0.6281069449190196,4.023554559577503
S13-J-frontal-2,J,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-J-frontal-2.mp4,train,30.0,55,1.8333333333333333,900,900,5570097,147.2837304526749,1.5430917798755766,3.8765295944662914
S13-J-frontal-3,J,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-J-frontal-3.mp4,train,30.0,54,1.8,900,900,5468837,144.90217839506175,0.1748247313873095,3.9072122868607426
S13-J-frontal-4,J,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-J-frontal-4.mp4,train,30.0,43,1.4333333333333333,900,900,4354977,144.92500320987656,0.17738100871934226,3.8657006934595346
S13-J-frontal-5,J,S13,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S13-J-frontal-5.mp4,train,30.0,54,1.8,900,900,5468837,144.13467242798353,0.5292373567169918,3.865653998437992
S13-K-frontal-1,K,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-K-frontal-1.mp4,train,30.0,58,1.9333333333333333,900,900,5873877,134.14433580246913,1.7315195750085883,2.6303546964939284
S13-K-frontal-2,K,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-K-frontal-2.mp4,train,30.0,65,2.1666666666666665,900,900,6582701,133.23268906525573,2.280619878987977,2.6176260715910034
S13-K-frontal-3,K,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-K-frontal-3.mp4,train,30.0,59,1.9666666666666666,900,900,5975137,134.60361152263374,1.811343992591372,2.5622437933610214
S13-K-frontal-4,K,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-K-frontal-4.mp4,train,30.0,62,2.066666666666667,900,900,6278921,134.2130671957672,1.6739256630905373,2.574130494872733
S13-K-frontal-5,K,S13,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S13-K-frontal-5.mp4,train,30.0,71,2.3666666666666667,900,900,7190261,133.48043070987654,1.0170613477861503,2.6004208217175355
S13-Q-frontal-1,Q,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-Q-frontal-1.mp4,train,30.0,56,1.8666666666666667,900,900,5671357,155.40855555555555,1.7799554419806927,3.5374222136203834
S13-Q-frontal-2,Q,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-Q-frontal-2.mp4,train,30.0,67,2.2333333333333334,900,900,6785221,154.71824991181657,1.772949921981438,3.5585941740155027
S13-Q-frontal-3,Q,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-Q-frontal-3.mp4,train,30.0,61,2.033333333333333,900,900,6177661,154.11037689594355,1.4843819253448047,3.45484866720317
S13-Q-frontal-4,Q,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-Q-frontal-4.mp4,train,30.0,56,1.8666666666666667,900,900,5671357,155.6852267489712,1.3302421737982173,3.338760486628056
S13-Q-frontal-5,Q,S13,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S13-Q-frontal-5.mp4,train,30.0,65,2.1666666666666665,900,900,6582701,155.290248324515,1.0413307048820224,3.5690255710947807
S13-X-frontal-1,X,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-X-frontal-1.mp4,train,30.0,70,2.3333333333333335,900,900,7089001,150.59410599647268,2.0572166012682978,3.8171763645563614
S13-X-frontal-2,X,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-X-frontal-2.mp4,train,30.0,73,2.433333333333333,900,900,7392781,147.2380563271605,1.0840964052456152,3.660209395292829
S13-X-frontal-3,X,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-X-frontal-3.mp4,train,30.0,69,2.3,900,900,6987741,145.86531040564373,1.5154265014335555,3.633399632671849
S13-X-frontal-4,X,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-X-frontal-4.mp4,train,30.0,68,2.2666666666666666,900,900,6886481,143.99589276895944,1.3699812465001735,3.596353069615695
S13-X-frontal-5,X,S13,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S13-X-frontal-5.mp4,train,30.0,54,1.8,900,900,5468837,142.19725102880656,1.025421545922097,3.520692144353502
S13-Z-frontal-1,Z,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-Z-frontal-1.mp4,train,30.0,71,2.3666666666666667,900,900,7190261,141.6261839506173,2.8652861323010894,3.3854546225596325
S13-Z-frontal-2,Z,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-Z-frontal-2.mp4,train,30.0,84,2.8,900,900,8506641,140.78988587105624,1.4670112742614403,3.416934884766889
S13-Z-frontal-3,Z,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-Z-frontal-3.mp4,train,30.0,84,2.8,900,900,8506641,141.7386231824417,1.9686752350590795,3.4955556763997695
S13-Z-frontal-4,Z,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-Z-frontal-4.mp4,train,30.0,78,2.6,900,900,7899081,141.16742191358026,1.0506561096318467,3.474243332351585
S13-Z-frontal-5,Z,S13,frontal,5,..\..\src\datasets\MSL-dynamic-signs\train\S13-Z-frontal-5.mp4,train,30.0,78,2.6,900,900,7899081,140.8180277777778,1.537932792354264,3.415067104456066
S13-Ñ-frontal-1,Ñ,S13,frontal,1,..\..\src\datasets\MSL-dynamic-signs\train\S13-Ñ-frontal-1.mp4,train,30.0,64,2.1333333333333333,900,900,6481441,139.2393114638448,0.36461386854699707,3.49522167642585
S13-Ñ-frontal-2,Ñ,S13,frontal,2,..\..\src\datasets\MSL-dynamic-signs\train\S13-Ñ-frontal-2.mp4,train,30.0,54,1.8,900,900,5468837,138.93168580246913,0.40876301675749577,3.5012331121355995
S13-Ñ-frontal-3,Ñ,S13,frontal,3,..\..\src\datasets\MSL-dynamic-signs\train\S13-Ñ-frontal-3.mp4,train,30.0,69,2.3,900,900,6987741,138.992091005291,0.40920144795368185,3.5769075823284777
S13-Ñ-frontal-4,Ñ,S13,frontal,4,..\..\src\datasets\MSL-dynamic-signs\train\S13-Ñ-frontal-4.mp4,train,30.0,59,1.9666666666666666,900,900,5975137,138.713920781893,0.6180066619281553,3.478820981634913
